Name,Region,Resource ID,Resource Type,Tag Key,Tag Value
–,us-west-1,sg-051d481e7b54987d5,SecurityGroup
–,ca-central-1,subnet-0b89693570aab31b1,Subnet
–,ca-central-1,subnet-085c5d5b617422ab0,Subnet
–,ca-central-1,subnet-03bd35058c5d5eb67,Subnet
–,ca-central-1,sg-0982f28d3ca57e948,SecurityGroup
–,us-west-1,subnet-05ec1bf07376587e6,Subnet
–,us-west-1,subnet-0b240bf8af07a02b6,Subnet
–,ap-northeast-3,sg-0c059a2ea5b20b023,SecurityGroup
–,us-west-2,subnet-0d11bfdd3d2498ef1,Subnet
–,us-west-2,subnet-061aa3717548be458,Subnet
–,us-west-2,subnet-04fc67e7efac6c119,Subnet
–,us-west-2,subnet-03f6ffb2bb2d2a3c6,Subnet
–,us-east-2,sg-0d660ebec13ce0a10,SecurityGroup
–,ap-south-1,sg-0b1d5995ef21aa511,SecurityGroup
–,ap-south-1,sg-019a760489d248394,SecurityGroup
–,ap-south-1,sg-0b4c13e97799a4ed9,SecurityGroup
–,ap-south-1,sg-0ae8f154ec2cada3c,SecurityGroup
–,ap-south-1,sg-0aa5f67e0a41ddd2b,SecurityGroup
–,ap-south-1,sg-03475075158e2a2eb,SecurityGroup
–,ap-south-1,sg-02510670d103e0d42,SecurityGroup
–,us-west-2,sg-06291cfcc896435e9,SecurityGroup
–,ap-northeast-1,sg-02c203dc07e801388,SecurityGroup
–,eu-west-1,sg-004a92a4f9a3a686c,SecurityGroup
Server-demo,ap-south-1,i-0d7c8e91b2d44152a,Instance,Owner,Nagendra
Server-demo,ap-south-1,i-0d7c8e91b2d44152a,Instance,Name,Server-demo
Server-demo,ap-south-1,i-0d7c8e91b2d44152a,Instance,Requestor,Nagendra
–,ap-northeast-3,subnet-041efd3f4d87bc4ad,Subnet,,
–,ap-northeast-3,subnet-01dc82534326b0a79,Subnet,,
–,ap-northeast-3,subnet-0244b3dd243f3e7f0,Subnet,,
–,eu-central-1,subnet-0db88f795d3a23f3d,Subnet,,
–,eu-central-1,subnet-0ee362ba49fda0817,Subnet,,
–,eu-central-1,subnet-0719fda315129f6be,Subnet,,
–,eu-west-2,subnet-09b18e61cd8ade09a,Subnet,,
–,eu-west-2,subnet-02e8d93c9b0c4a819,Subnet,,
–,eu-west-2,subnet-079fa26f40282069f,Subnet,,
–,us-east-2,subnet-00ef5edfa0f4faae1,Subnet,,
–,us-east-2,subnet-073a19a11192233df,Subnet,,
–,us-east-2,subnet-0d2f97d3d7de5b47d,Subnet,,
–,ap-northeast-1,subnet-05dd69574f5350eaa,Subnet,,
–,ap-northeast-1,subnet-0dc32424def00bd74,Subnet,,
–,ap-northeast-1,subnet-05ce65b45acc533ba,Subnet,,
–,eu-west-1,subnet-056392114150d8aaa,Subnet,,
–,eu-west-1,subnet-00f2b03839775a901,Subnet,,
–,eu-west-1,subnet-02b669d52375d28c6,Subnet,,
–,eu-west-3,subnet-04be94e5b69d64ed0,Subnet,,
–,eu-west-3,subnet-023eea2f18a342a2d,Subnet,,
–,eu-west-3,subnet-05b96ef56a6a5527b,Subnet,,
–,ap-south-1,subnet-04a5d459061b626b3,Subnet,,
–,ap-south-1,subnet-013c5f6cd18b9959c,Subnet,,
–,ap-south-1,subnet-0b389332539e44e8a,Subnet,,
–,ap-south-1,vol-0df554e4c01bb8dd3,Volume,,
–,ap-southeast-2,subnet-0021fa505926630fc,Subnet,,
–,ap-southeast-2,subnet-09ebd7191ab525f1d,Subnet,,
–,ap-southeast-2,subnet-02276615713d21212,Subnet,,
–,eu-west-2,sg-0473ef069dfc47b18,SecurityGroup,,
–,ap-southeast-2,sg-0366e52bf78bc6d46,SecurityGroup,,
–,us-east-1,sg-03118dcf410cc6766,SecurityGroup,,
–,sa-east-1,subnet-01c8df3ee7c144def,Subnet,,
–,sa-east-1,subnet-0640198cd4a2a5630,Subnet,,
–,sa-east-1,subnet-09543cf94ae492648,Subnet,,
–,eu-central-1,sg-05d4e06cbbb01a552,SecurityGroup,,
–,us-east-1,subnet-06a1a575e249360fa,Subnet,,
–,us-east-1,subnet-0799e177e3b5fb6a6,Subnet,,
–,us-east-1,subnet-02f1f760afbf7b2b4,Subnet,,
–,us-east-1,subnet-06e3ece3c16efbce4,Subnet,,
–,us-east-1,subnet-04811eb9e0b0f8b64,Subnet,,
–,us-east-1,subnet-0b45ca6995adbe937,Subnet,,
–,ap-northeast-2,subnet-047cf2379fa32bf83,Subnet,,
–,ap-northeast-2,subnet-08cd2b16c3ac13c7f,Subnet,,
–,ap-northeast-2,subnet-0d8744e5b08c6170d,Subnet,,
–,ap-northeast-2,subnet-061779f413c9486fa,Subnet,,
–,ca-central-1,vpc-0d5fe88650834c0cf,Vpc,,
–,eu-west-3,sg-00387debe75cb8710,SecurityGroup,,
–,us-west-1,vpc-04940713686d01689,Vpc,,
–,ap-southeast-1,subnet-075d8dee095dba619,Subnet,,
–,ap-southeast-1,subnet-0dce5f20641144162,Subnet,,
–,ap-southeast-1,subnet-08aa6f61e240a8c17,Subnet,,
–,sa-east-1,sg-09d083980f7ee8911,SecurityGroup,,
–,us-west-2,vpc-0ef2fdbfdd71d386a,Vpc,,
–,ap-south-1,vpc-01a837dbc003551e7,Vpc,,
–,ap-northeast-2,sg-08f93b7c6160894b2,SecurityGroup,,
–,eu-west-1,vpc-09078e8539735c976,Vpc,,
–,ap-southeast-1,sg-0f7303d31c920fd98,SecurityGroup,,
–,eu-west-3,vpc-057a84f5cba08b627,Vpc,,
–,eu-central-1,vpc-03debba3b9607d759,Vpc,,
–,ap-northeast-3,vpc-0eadf9803641fdd51,Vpc,,
–,us-west-1,rtb-066f94d25231fce97,RouteTable,,
–,us-east-2,vpc-05d6cd8aec9be4dd9,Vpc,,
–,eu-north-1,subnet-0d4298ab7abe771c2,Subnet,,
–,eu-north-1,subnet-07b08588935e06e39,Subnet,,
–,eu-north-1,subnet-0ba932f339420f8f0,Subnet,,
–,ap-northeast-1,vpc-04f116dcc5090faee,Vpc,,
–,us-west-2,rtb-0f0537b29f64d4004,RouteTable,,
–,ca-central-1,rtb-02a1df07ed268b3d2,RouteTable,,
–,eu-west-2,vpc-0b3fb8b988adb0f68,Vpc,,
–,eu-north-1,sg-07ba6a25aac718d5c,SecurityGroup,,
–,us-east-2,rtb-086f10f5b904594bb,RouteTable,,
–,us-east-1,vpc-0948994ae87f8c03c,Vpc,,
–,eu-north-1,vpc-077e10c660a819867,Vpc,,
–,ap-southeast-2,vpc-04454966345bb1cc2,Vpc,,
–,eu-central-1,rtb-0dbca5eda8a66e1e3,RouteTable,,
–,eu-west-3,rtb-072d398e2ffeca87f,RouteTable,,
–,eu-west-2,rtb-05cb9860967d7f79d,RouteTable,,
–,ap-northeast-3,rtb-0c11c6c00b4a70025,RouteTable,,
–,us-east-1,rtb-0fca2b20c51110d15,RouteTable,,
–,ap-northeast-1,rtb-01a76fad7685b2718,RouteTable,,
–,eu-west-1,rtb-036d338abcffa6334,RouteTable,,
–,sa-east-1,vpc-01c7aeb7ca0aaea1e,Vpc,,
–,ap-south-1,rtb-074d091f5b774870c,RouteTable,,
–,ap-southeast-1,vpc-0ab6eeee54d22957c,Vpc,,
–,sa-east-1,rtb-0eb23fdc9e36f0489,RouteTable,,
–,eu-north-1,rtb-049220ad74ba4e429,RouteTable,,
–,ap-northeast-2,vpc-05e8d27c4b4637076,Vpc,,
–,ap-northeast-2,rtb-00e1f25082bf67c30,RouteTable,,
–,ap-southeast-2,rtb-0040831f0f9156b12,RouteTable,,
–,ap-southeast-1,rtb-06c790a47298237a2,RouteTable,,
–,us-west-1,igw-01a53092f5d7f4d6c,InternetGateway,,
–,us-west-2,igw-09628bcab463f600e,InternetGateway,,
–,ca-central-1,igw-035d05db4dafc7db3,InternetGateway,,
–,us-east-2,igw-06616e60acbaf4f95,InternetGateway,,
–,us-east-1,igw-0f294d1f19270439f,InternetGateway,,
–,eu-west-3,igw-076c08a2a3271ffaf,InternetGateway,,
–,ap-northeast-3,igw-04433f7eb3c53acfb,InternetGateway,,
–,eu-central-1,igw-05db4f1827b0b070d,InternetGateway,,
–,eu-west-2,igw-02cb001e53f748e7e,InternetGateway,,
–,us-west-1,dopt-0cfcf9638ae9ae062,DhcpOptionSet,,
–,eu-west-1,igw-0c6eeb258e7aa4e9c,InternetGateway,,
–,ca-central-1,dopt-0f49c3feb19f4baa9,DhcpOptionSet,,
–,eu-north-1,igw-0db73a505cacc811e,InternetGateway,,
–,ap-northeast-1,igw-0a428cdfbb30b1293,InternetGateway,,
–,us-west-2,dopt-08d423ba3e4eb2792,DhcpOptionSet,,
–,ap-southeast-2,igw-070f40b37d910cc5b,InternetGateway,,
–,ap-northeast-2,igw-0450ac8a2a426de84,InternetGateway,,
–,sa-east-1,igw-06d46d89cdb15af78,InternetGateway,,
–,ap-south-1,igw-02e6cfb0eaa4233b6,InternetGateway,,
–,us-east-1,dopt-0d279bdde124dcd2d,DhcpOptionSet,,
–,us-east-2,dopt-0c334c302baff5d7a,DhcpOptionSet,,
–,eu-west-3,dopt-064792f3f941d23d3,DhcpOptionSet,,
–,ap-northeast-3,dopt-026234f631606bfa1,DhcpOptionSet,,
–,ap-northeast-1,dopt-04b4debd9203b9d01,DhcpOptionSet,,
–,eu-central-1,dopt-03e7780803d23e7db,DhcpOptionSet,,
–,eu-north-1,dopt-00b7828f8b470fada,DhcpOptionSet,,
–,ap-southeast-2,dopt-0df63c50c5ad66b17,DhcpOptionSet,,
–,eu-west-1,dopt-03389e408e0d9724a,DhcpOptionSet,,
–,sa-east-1,dopt-042ee53483f274fa2,DhcpOptionSet,,
–,eu-west-2,dopt-0dac00a0b699338b6,DhcpOptionSet,,
–,ap-northeast-2,dopt-02458a5f92d37feb2,DhcpOptionSet,,
–,ap-south-1,dopt-0550a9a68726fa167,DhcpOptionSet,,
–,ap-southeast-1,igw-08f35d164f3d9fd29,InternetGateway,,
–,ap-southeast-1,dopt-0c6c219117db6c6ab,DhcpOptionSet,,
–,ap-south-1,eipalloc-0915e20f7fcc8ff37,ElasticIp,,
–,us-west-1,pl-00681cfc4af1034e0,ManagedPrefixList,,
–,us-west-1,pl-0100d31638d9d3604,ManagedPrefixList,,
–,us-west-1,pl-0ddaf0b3d939cce0f,ManagedPrefixList,,
–,us-west-1,pl-0de8136a37cbef6b8,ManagedPrefixList,,
–,us-west-1,pl-0e10dc8019e3c0a32,ManagedPrefixList,,
–,us-west-1,pl-4ea04527,ManagedPrefixList,,
–,us-west-1,pl-6ba54002,ManagedPrefixList,,
–,us-west-1,pl-6ea54007,ManagedPrefixList,,
–,ca-central-1,pl-0025c936f2aacf048,ManagedPrefixList,,
–,ca-central-1,pl-075a07d1abc7dbe5a,ManagedPrefixList,,
–,ca-central-1,pl-078d6f190f393e7fa,ManagedPrefixList,,
–,ca-central-1,pl-08a6a3685cc410c2d,ManagedPrefixList,,
–,ca-central-1,pl-0d645b6ffc124ccac,ManagedPrefixList,,
–,ca-central-1,pl-38a64351,ManagedPrefixList,,
–,ca-central-1,pl-4ea54027,ManagedPrefixList,,
–,ca-central-1,pl-7da54014,ManagedPrefixList,,
–,us-west-2,pl-0068613c321dee54b,ManagedPrefixList,,
–,us-west-2,pl-00a54069,ManagedPrefixList,,
–,us-west-2,pl-0721453c7ac4ec009,ManagedPrefixList,,
–,us-west-2,pl-09303cf8136420840,ManagedPrefixList,,
–,us-west-2,pl-0cbf975b710a608ea,ManagedPrefixList,,
–,us-west-2,pl-0cc36273da754ebdc,ManagedPrefixList,,
–,us-west-2,pl-14bc597d,ManagedPrefixList,,
–,us-west-2,pl-68a54001,ManagedPrefixList,,
–,us-west-2,pl-82a045eb,ManagedPrefixList,,
–,eu-central-1,pl-03743f81267c0a85e,ManagedPrefixList,,
–,eu-central-1,pl-03be024c5963cee10,ManagedPrefixList,,
–,eu-central-1,pl-059d8786dae17d9ec,ManagedPrefixList,,
–,eu-central-1,pl-08d9db512f7ada124,ManagedPrefixList,,
–,eu-central-1,pl-0fe2d6a81aa341e4f,ManagedPrefixList,,
–,eu-central-1,pl-66a5400f,ManagedPrefixList,,
–,eu-central-1,pl-a3a144ca,ManagedPrefixList,,
–,us-east-2,pl-024ce7d4371b683a9,ManagedPrefixList,,
–,us-east-2,pl-035da5473f4b423a4,ManagedPrefixList,,
–,us-east-2,pl-071b02a85c8cf8729,ManagedPrefixList,,
–,us-east-2,pl-087f83ba4f34e3bea,ManagedPrefixList,,
–,us-east-2,pl-0a29265a06ed0e2f4,ManagedPrefixList,,
–,us-east-2,pl-4ca54025,ManagedPrefixList,,
–,us-east-2,pl-7ba54012,ManagedPrefixList,,
–,us-east-2,pl-b6a144df,ManagedPrefixList,,
–,us-west-2,acl-088ee0c073ec2d6d8,NetworkAcl,,
–,ca-central-1,acl-0ca515447e1f26b9b,NetworkAcl,,
–,us-east-1,pl-02cd2c6b,ManagedPrefixList,,
–,us-east-1,pl-05c0959a59362110e,ManagedPrefixList,,
–,us-east-1,pl-062e1d6f8317caab5,ManagedPrefixList,,
–,us-east-1,pl-073555187c4e6ccf2,ManagedPrefixList,,
–,us-east-1,pl-07cbd8b5e26960eac,ManagedPrefixList,,
–,us-east-1,pl-0e5696d987d033653,ManagedPrefixList,,
–,us-east-1,pl-3b927c52,ManagedPrefixList,,
–,us-east-1,pl-63a5400a,ManagedPrefixList,,
–,us-east-1,pl-d928c6b0,ManagedPrefixList,,
–,us-west-1,acl-00eb9f82877d8f59e,NetworkAcl,,
–,eu-west-3,pl-008035c4e147f168f,ManagedPrefixList,,
–,eu-west-3,pl-02e3d46ded3c2660d,ManagedPrefixList,,
–,eu-west-3,pl-0844ea0e857ef6ce0,ManagedPrefixList,,
–,eu-west-3,pl-23ad484a,ManagedPrefixList,,
–,eu-west-3,pl-75b1541c,ManagedPrefixList,,
–,eu-west-3,pl-abb451c2,ManagedPrefixList,,
–,ap-northeast-3,pl-0069e754cdfc553c4,ManagedPrefixList,,
–,ap-northeast-3,pl-064c06aa11bcb2f0c,ManagedPrefixList,,
–,ap-northeast-3,pl-08a1be47933f873ab,ManagedPrefixList,,
–,ap-northeast-3,pl-31a14458,ManagedPrefixList,,
–,ap-northeast-3,pl-47a6432e,ManagedPrefixList,,
–,ap-northeast-3,pl-a4a540cd,ManagedPrefixList,,
–,eu-north-1,pl-033e44023025215c0,ManagedPrefixList,,
–,eu-north-1,pl-0377db02afc56729d,ManagedPrefixList,,
–,eu-north-1,pl-05ed086c,ManagedPrefixList,,
–,eu-north-1,pl-0b63e1e2e12cd57b3,ManagedPrefixList,,
–,eu-north-1,pl-0cfb24212614905ca,ManagedPrefixList,,
–,eu-north-1,pl-0e9c3ed9a9957ecc3,ManagedPrefixList,,
–,eu-north-1,pl-adae4bc4,ManagedPrefixList,,
–,eu-north-1,pl-c3aa4faa,ManagedPrefixList,,
–,eu-north-1,pl-fab65393,ManagedPrefixList,,
–,eu-west-2,pl-05cadb937455b8b91,ManagedPrefixList,,
–,eu-west-2,pl-082b2916fa6d7b4b7,ManagedPrefixList,,
–,eu-west-2,pl-0b5bdb82abb4bd9f5,ManagedPrefixList,,
–,eu-west-2,pl-0c3d600e9481d5e46,ManagedPrefixList,,
–,eu-west-2,pl-0f8cdc7e2b7903425,ManagedPrefixList,,
–,eu-west-2,pl-7ca54015,ManagedPrefixList,,
–,eu-west-2,pl-93a247fa,ManagedPrefixList,,
–,eu-west-2,pl-b3a742da,ManagedPrefixList,,
–,eu-west-1,pl-03fa6b266557b0d4f,ManagedPrefixList,,
–,eu-west-1,pl-043e576ae071614c6,ManagedPrefixList,,
–,eu-west-1,pl-09aafc9654af00b9f,ManagedPrefixList,,
–,eu-west-1,pl-0a482994893fdb5a8,ManagedPrefixList,,
–,eu-west-1,pl-0bb61442d9cd92224,ManagedPrefixList,,
–,eu-west-1,pl-4fa04526,ManagedPrefixList,,
–,eu-west-1,pl-6da54004,ManagedPrefixList,,
–,eu-west-1,pl-6fa54006,ManagedPrefixList,,
–,ap-south-1,pl-0419ec9f6f614c525,ManagedPrefixList,,
–,ap-south-1,pl-0a8aa53c1986bfb45,ManagedPrefixList,,
–,ap-south-1,pl-0b90cb0be8b582cc7,ManagedPrefixList,,
–,ap-south-1,pl-66a7420f,ManagedPrefixList,,
–,ap-south-1,pl-78a54011,ManagedPrefixList,,
–,ap-south-1,pl-9aa247f3,ManagedPrefixList,,
–,us-east-2,acl-0d68d0ec5bcd54283,NetworkAcl,,
–,us-east-1,acl-002c4c3c6c555736a,NetworkAcl,,
–,ap-northeast-1,pl-0596057d86614af83,ManagedPrefixList,,
–,ap-northeast-1,pl-088f6a61,ManagedPrefixList,,
–,ap-northeast-1,pl-0b03d185a97164807,ManagedPrefixList,,
–,ap-northeast-1,pl-0c06554ceeafd8c94,ManagedPrefixList,,
–,ap-northeast-1,pl-0dd4d3c04caa6bd24,ManagedPrefixList,,
–,ap-northeast-1,pl-0e9bca5093b8dd7b8,ManagedPrefixList,,
–,ap-northeast-1,pl-58a04531,ManagedPrefixList,,
–,ap-northeast-1,pl-61a54008,ManagedPrefixList,,
–,sa-east-1,pl-08f3b623edaef7407,ManagedPrefixList,,
–,sa-east-1,pl-098248765e9effc20,ManagedPrefixList,,
–,sa-east-1,pl-0b1d1d5f85cda77da,ManagedPrefixList,,
–,sa-east-1,pl-5da64334,ManagedPrefixList,,
–,sa-east-1,pl-60a54009,ManagedPrefixList,,
–,sa-east-1,pl-6aa54003,ManagedPrefixList,,
–,ap-southeast-2,pl-031949a747cc0869f,ManagedPrefixList,,
–,ap-southeast-2,pl-0893b56c16019f7d8,ManagedPrefixList,,
–,ap-southeast-2,pl-08c8dbfdeb99a899b,ManagedPrefixList,,
–,ap-southeast-2,pl-08d24302b8c4d2b73,ManagedPrefixList,,
–,ap-southeast-2,pl-0c711dc34c6f2a9d0,ManagedPrefixList,,
–,ap-southeast-2,pl-62a5400b,ManagedPrefixList,,
–,ap-southeast-2,pl-6ca54005,ManagedPrefixList,,
–,ap-southeast-2,pl-b8a742d1,ManagedPrefixList,,
–,ap-northeast-2,pl-055e7992f0c5b0839,ManagedPrefixList,,
–,ap-northeast-2,pl-059b3e0b02af70e4d,ManagedPrefixList,,
–,ap-northeast-2,pl-0a68795a608c119db,ManagedPrefixList,,
–,ap-northeast-2,pl-22a6434b,ManagedPrefixList,,
–,ap-northeast-2,pl-48a54021,ManagedPrefixList,,
–,eu-central-1,acl-068e07c94c1d45ae4,NetworkAcl,,
–,ap-northeast-3,acl-0526fb28d56d0e954,NetworkAcl,,
–,eu-west-3,acl-00317ea5421969ba3,NetworkAcl,,
–,eu-west-1,acl-059b35b370b3b4a5e,NetworkAcl,,
–,eu-west-2,acl-03cba7f5a07049164,NetworkAcl,,
–,ap-northeast-1,acl-0589e306aeb2b6464,NetworkAcl,,
–,eu-north-1,acl-00ca6cdcfa159a014,NetworkAcl,,
–,ap-southeast-1,pl-01d3075872a82bb3f,ManagedPrefixList,,
–,ap-southeast-1,pl-0637af5e52c24fd2f,ManagedPrefixList,,
–,ap-southeast-1,pl-0d9b804fe014a6a99,ManagedPrefixList,,
–,ap-southeast-1,pl-0e857c10abacabc80,ManagedPrefixList,,
–,ap-southeast-1,pl-0e8ed7acb7d632222,ManagedPrefixList,,
–,ap-southeast-1,pl-31a34658,ManagedPrefixList,,
–,ap-southeast-1,pl-67a5400e,ManagedPrefixList,,
–,sa-east-1,acl-0b686fa57e6c4bcfd,NetworkAcl,,
–,ap-southeast-2,acl-0ab31e0ef1254ca02,NetworkAcl,,
–,ap-south-1,acl-098c3212c7f4ead1d,NetworkAcl,,
–,ap-northeast-2,acl-036a437294d1a9633,NetworkAcl,,
–,ap-southeast-1,acl-0ef99696f1c1380aa,NetworkAcl,,
–,ap-south-1,eni-0035b92ae717dac69,NetworkInterface,,
–,ap-south-1,eni-0dcf0151d3c298106,NetworkInterface,,